State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,10000
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,6749000
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Grapes,118,2048
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Groundnut,877029,362213
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Horse-gram,410,107
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Jowar,3759,3879
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Maize,5958,21538
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Moong(Green Gram),1078,747
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Onion,985,17025
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Other Kharif pulses,1429,301
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Ragi,2303,4394
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Rice,25008,69972
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Small millets,854,455
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Soyabean,421,232
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Urad,69,24
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Bajra,66,125
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Dry chillies,58,214
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Gram,49105,48172
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Groundnut,22006,29752
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Horse-gram,205,77
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Jowar,12931,9970
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Linseed,29,11
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Maize,1435,10721
Assam,KAMRUP,2009,Whole Year ,Banana,2530,33101
Assam,KAMRUP,2009,Whole Year ,Black pepper,97,147
Assam,KAMRUP,2009,Whole Year ,Coconut ,1548,7273000
Assam,KAMRUP,2009,Whole Year ,Dry chillies,1961,1178
Assam,KAMRUP,2009,Whole Year ,Dry ginger,384,2849
Assam,KAMRUP,2009,Whole Year ,Onion,583,1701
Assam,KAMRUP,2009,Whole Year ,Potato,3062,37366
Assam,KAMRUP,2009,Whole Year ,Sugarcane,921,32300
Assam,KAMRUP,2009,Whole Year ,Sweet potato,164,409
Assam,KAMRUP,2009,Whole Year ,Tapioca,81,292
Assam,KAMRUP,2009,Whole Year ,Tobacco,1,1
Assam,KAMRUP,2009,Whole Year ,Turmeric,723,626
Assam,KAMRUP,2009,Winter     ,Rice,69798,127917
Assam,KAMRUP,2010,Autumn     ,Rice,14012,23004
Assam,KAMRUP,2010,Kharif     ,Arhar/Tur,160,128
Assam,KAMRUP,2010,Kharif     ,Castor seed,10,3
Assam,KAMRUP,2010,Kharif     ,Cotton(lint),1,1
Assam,KAMRUP,2010,Kharif     ,Jute,3359,51505
Assam,KAMRUP,2010,Kharif     ,Maize,217,134
Assam,KAMRUP,2010,Kharif     ,Mesta,61,293
Bihar,JEHANABAD,1997,Kharif     ,Other Kharif pulses,4,2
Bihar,JEHANABAD,1997,Kharif     ,Sesamum,29,17
Bihar,JEHANABAD,1997,Kharif     ,Small millets,9,4
Bihar,JEHANABAD,1997,Rabi       ,Barley,699,487
Bihar,JEHANABAD,1997,Rabi       ,Gram,2222,787
